COMMON NAME,SCIENTIFIC NAME
ADONIS,Lysandra bellargus
AFRICAN GIANT SWALLOWTAIL,Papilio antimachus
AMERICAN SNOOT,Libytheana carinenta
AN 88,Diaethria anna
APPOLLO,Parnassius apollo
ATALA,Eumaeus atala
BANDED ORANGE HELICONIAN,Dryadula phaetusa
BANDED PEACOCK,Anartia fatima
BECKERS WHITE,Pontia beckerii
BLACK HAIRSTREAK,Satyrium pruni
BLUE MORPHO,Morpho peleides
BLUE SPOTTED CROW,Euploea midamus
BROWN SIPROETA, Siproeta epaphus
CABBAGE WHITE,Pieris rapae
CAIRNS BIRDWING,Ornithoptera euphorion
CHECQUERED SKIPPER,Carterocephalus palaemon
CHESTNUT,Parantica sita
CLEOPATRA,gonepteryx cleopatra
CLODIUS PARNASSIAN,Parnassius clodius
CLOUDED SULPHUR,Colias philodice
COMMON BANDED AWL,Hasora schoenherr
COMMON WOOD-NYMPH,Cercyonis pegala
COPPER TAIL,Lycaena arota
CRECENT,Phyciodes tharos
CRIMSON PATCH,Chlosyne janais
DANAID EGGFLY,Hypolimnas misippus
EASTERN COMA,Polygonia comma
EASTERN DAPPLE WHITE,Eachloe ausonia
EASTERN PINE ELFIN,Call0phrys niphon
ELBOWED PIERROT,Caleta elna
GOLD BANDED,Euphaedra neophron
GREAT EGGFLY, Hypolimnas bolina
GREAT JAY,Graphium eurypylus
GREEN CELLED CATTLEHEART,Parides childrenae
GREY HAIRSTREAK,Strymon melinus
INDRA SWALLOW,Papilio indra
IPHICLUS SISTER,Adelpha iphiclus
JULIA,Dryas iulia
LARGE MARBLE, Euchloe ausonides
MALACHITE,Siproeta stelenes
MANGROVE SKIPPER,Phocides pigmalion
MESTRA,Mestra hypermestra
METALMARK,Rhetus periander
MILBERTS TORTOISESHELL,Aglais milberti
MONARCH,Danaus plexippus
MOURNING CLOAK,Danaus plexippus
ORANGE OAKLEAF,Kallima inachus
ORANGE TIP,Anthocharis cardamines
ORCHARD SWALLOW,Papilio polytes
PAINTED LADY,Vanessa cardui
PAPER KITE,Idea leuconoe
PEACOCK,Aglais io
PINE WHITE,Idea leuconoe
PIPEVINE SWALLOW,Battus philenor
POPINJAY,Stibochiona nicea
PURPLE HAIRSTREAK,Neozephyrus quercus
PURPLISH COPPER,Lycaena helloides
QUESTION MARK, Polygonia interrogationis
RED ADMIRAL,Vanessa atalanta
RED CRACKER,Hamadryas amphinome
RED POSTMAN,Heliconius melpomene
RED SPOTTED PURPLE,Limenitis arthemis
SCARCE SWALLOW,Iphicides podalirius
SILVER SPOT SKIPPER,Epargyreus clarusÂ 
SLEEPY ORANGE,Eurema nicippe
SOOTYWING,Hesperopsis alpheus
SOUTHERN DOGFACE,Zerene eurydice
STRAITED QUEEN,Danaus gilippus
TROPICAL LEAFWING,Anaea aidea
TWO BARRED FLASHER,Astraptes fulgerator
ULYSES,Papilio ulysses
VICEROY, Limenitis archippus
WOOD SATYR,Megisto cymela
YELLOW SWALLOW TAIL,Papilio glaucus
ZEBRA LONG WING,Heliconius charithonia
